query_id,product_id,is_correct,corrected_query
6014,B01G1RYHAO,True,aa batteries 100 pack
6014,B07FP5DNBG,True,aa batteries 100 pack
6014,B07F7RH8D4,True,aa batteries 100 pack
6014,B01B8R6PF2,True,aa batteries 100 pack
6014,B00LHSAARW,False,60 pack aa batteries.
6014,B00KMDL8U6,True,aa batteries 100 pack
6014,B004SCA15K,True,aa batteries 100 pack
6014,B01B8R6V2E,True,aa batteries 100 pack
32814,B07TWK2S22,False,12V MAX DeWalt cordless screwdriver.
32814,B0812ZHY5N,False,cordless screwdriver ENERTWIST
32814,B07S7F53YK,True,"dewalt 8v max cordless screwdriver kit, gyroscopic"
32814,B00EUHAGX0,False,8V MAX DeWalt battery charger
32814,B00DL7QDS2,True,"dewalt 8v max cordless screwdriver kit, gyroscopic"
32814,B011WRUODC,True,"dewalt 8v max cordless screwdriver kit, gyroscopic"
58953,B085G3MGFR,True,kodak photo paper 8.5 x 11 glossy
58953,B085F42SV6,True,kodak photo paper 8.5 x 11 glossy
58953,B01M0L2WLF,True,kodak photo paper 8.5 x 11 glossy
58953,B01JB7D4SW,True,kodak photo paper 8.5 x 11 glossy
58953,B000EZTYHG,True,kodak photo paper 8.5 x 11 glossy
58953,B000EZTYG2,True,kodak photo paper 8.5 x 11 glossy
58953,B000EZTYCG,True,kodak photo paper 8.5 x 11 glossy
58953,B000EZ0CTK,False,Kodak photo paper 8.5 x 11 Matte
58953,B000EYAKKW,True,kodak photo paper 8.5 x 11 glossy
58953,B000EYAKJS,True,kodak photo paper 8.5 x 11 glossy
